Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
4,0,System,0x84233ad8,78,652,N/A,False,2017-12-08,20:04:27.000000,UTC,N/A,-,-,-
*,252,4,smss.exe,0x8e9f1660,2,29,N/A,False,2017-12-08,20:04:27.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\smss.exe,\SystemRoot\System32\smss.exe,\SystemRoot\System32\smss.exe
328,320,csrss.exe,0x85acb328,9,625,0,False,2017-12-08,20:04:27.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\csrss.exe,%SystemRoot%\system32\csrss.exe,ObjectDirectory=\Windows,"SharedSection=1024,12288,512",Windows=On,SubSystemType=Windows,"ServerDll=basesrv,1","ServerDll=winsrv:UserServerDllInitialization,3","ServerDll=winsrv:ConServerDllInitialization,2","ServerDll=sxssrv,4",ProfileControl=Off,MaxRequestThreads=16,C:\Windows\system32\csrss.exe
376,320,wininit.exe,0x85b4a998,3,76,0,False,2017-12-08,20:04:27.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\wininit.exe,-,-
*,492,376,lsm.exe,0x85b84d28,11,172,0,False,2017-12-08,20:04:27.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\lsm.exe,C:\Windows\system32\lsm.exe,C:\Windows\system32\lsm.exe
*,468,376,services.exe,0x85b65d28,12,249,0,False,2017-12-08,20:04:27.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\services.exe,C:\Windows\system32\services.exe,C:\Windows\system32\services.exe
**,388,468,FoxitConnected,0x85e07408,16,352,0,False,2017-12-08,20:04:32.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Foxit,Software\Foxit,Reader\FoxitConnectedPDFService.exe,"""C:\Program",Files\Foxit,Software\Foxit,"Reader\FoxitConnectedPDFService.exe""",C:\Program,Files\Foxit,Software\Foxit,Reader\FoxitConnectedPDFService.exe
**,5896,468,NisSrv.exe,0x852294e0,12,233,0,False,2017-12-08,20:05:32.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Microsoft,Security,Client\NisSrv.exe,"""c:\Program",Files\Microsoft,Security,"Client\NisSrv.exe""",c:\Program,Files\Microsoft,Security,Client\NisSrv.exe
**,1164,468,svchost.exe,0x85c5e920,21,496,0,False,2017-12-08,20:04:30.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe,-k,NetworkService,C:\Windows\system32\svchost.exe
**,1420,468,taskhost.exe,0x85d72030,16,299,1,False,2017-12-08,20:04:30.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\taskhost.exe,"""taskhost.exe""",C:\Windows\system32\taskhost.exe
**,656,468,VBoxService.ex,0x85bf50c0,12,116,0,False,2017-12-08,20:04:28.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\VBoxService.exe,C:\Windows\System32\VBoxService.exe,C:\Windows\System32\VBoxService.exe
**,284,468,svchost.exe,0x85e457a0,19,291,0,False,2017-12-08,20:04:32.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe,-k,LocalServiceAndNoImpersonation,C:\Windows\system32\svchost.exe
**,1312,468,spoolsv.exe,0x85d11150,17,282,0,False,2017-12-08,20:04:30.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\spoolsv.exe,C:\Windows\System32\spoolsv.exe,C:\Windows\System32\spoolsv.exe
**,932,468,svchost.exe,0x851fb4c8,15,321,0,False,2017-12-08,20:04:29.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,-k,LocalSystemNetworkRestricted,C:\Windows\System32\svchost.exe
***,1564,932,dwm.exe,0x85da3d28,6,89,1,False,2017-12-08,20:04:30.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\dwm.exe,"""C:\Windows\system32\Dwm.exe""",C:\Windows\system32\Dwm.exe
**,2852,468,SearchIndexer.,0x85ff5d28,14,571,0,False,2017-12-08,20:04:38.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe,/Embedding,C:\Windows\system32\SearchIndexer.exe
***,3088,2852,SearchProtocol,0x8604c370,7,312,0,False,2017-12-08,20:04:39.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\SearchProtocolHost.exe,-,-
***,3108,2852,SearchFilterHo,0x8604fd28,4,86,0,False,2017-12-08,20:04:39.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\SearchFilterHost.exe,"""C:\Windows\system32\SearchFilterHost.exe""",0,504,508,516,65536,512,C:\Windows\system32\SearchFilterHost.exe
**,2728,468,svchost.exe,0x85fe1a18,5,91,0,False,2017-12-08,20:04:38.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,-,-
**,1836,468,svchost.exe,0x85e21d28,15,329,0,False,2017-12-08,20:04:31.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,-k,utcsvc,C:\Windows\System32\svchost.exe
**,4524,468,svchost.exe,0x85032030,8,119,0,False,2017-12-08,20:05:02.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe,-k,imgsvc,C:\Windows\system32\svchost.exe
**,1720,468,OfficeClickToR,0x85dea328,20,486,0,False,2017-12-08,20:04:31.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Common,Files\microsoft,shared\ClickToRun\OfficeClickToRun.exe,"""C:\Program",Files\Common,Files\Microsoft,"Shared\ClickToRun\OfficeClickToRun.exe""",/service,C:\Program,Files\Common,Files\Microsoft,Shared\ClickToRun\OfficeClickToRun.exe
**,1600,468,AlibabaProtect,0x85db4788,25,646,0,False,2017-12-08,20:04:30.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\AlibabaProtect\1.0.9.673\AlibabaProtect.exe,"""C:\Program","Files\AlibabaProtect\1.0.9.673\AlibabaProtect.exe""",C:\Program,Files\AlibabaProtect\1.0.9.673\AlibabaProtect.exe
**,708,468,svchost.exe,0x85c10448,10,361,0,False,2017-12-08,20:04:28.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe,-k,RPCSS,C:\Windows\system32\svchost.exe
**,4168,468,svchost.exe,0x8491d1a8,5,41,0,False,2017-12-08,20:05:45.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,-k,WerSvcGroup,C:\Windows\System32\svchost.exe
**,972,468,svchost.exe,0x86558030,28,561,0,False,2017-12-08,20:04:29.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe,-k,LocalService,C:\Windows\system32\svchost.exe
**,3020,468,wmpnetwk.exe,0x86030c98,10,207,0,False,2017-12-08,20:04:39.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Windows,Media,Player\wmpnetwk.exe,"""C:\Program",Files\Windows,Media,"Player\wmpnetwk.exe""",C:\Program,Files\Windows,Media,Player\wmpnetwk.exe
**,592,468,svchost.exe,0x85b81d28,12,383,0,False,2017-12-08,20:04:28.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe,-k,DcomLaunch,C:\Windows\system32\svchost.exe
***,2284,592,WmiPrvSE.exe,0x85f97ae0,8,182,0,False,2017-12-08,20:04:34.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe,C:\Windows\system32\wbem\wmiprvse.exe,C:\Windows\system32\wbem\wmiprvse.exe
**,1368,468,svchost.exe,0x85d29d28,22,330,0,False,2017-12-08,20:04:30.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe,-k,LocalServiceNoNetwork,C:\Windows\system32\svchost.exe
**,4060,468,sppsvc.exe,0x84a9e550,7,107,0,False,2017-12-08,20:06:40.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\sppsvc.exe,C:\Windows\system32\sppsvc.exe,C:\Windows\system32\sppsvc.exe
**,1004,468,svchost.exe,0x8f5b5d28,42,1035,0,False,2017-12-08,20:04:29.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe,-k,netsvcs,C:\Windows\system32\svchost.exe
***,1524,1004,taskeng.exe,0x85c3f058,5,79,0,False,2017-12-08,20:04:30.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\taskeng.exe,taskeng.exe,{783846BB-36B2-4101-8E31-CDDC6012FFE7},C:\Windows\system32\taskeng.exe
**,1644,468,taskhost.exe,0x84ce3030,6,95,1,False,2017-12-08,20:06:47.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\taskhost.exe,"""taskhost.exe""",C:\Windows\system32\taskhost.exe
**,880,468,svchost.exe,0x85c79b08,23,487,0,False,2017-12-08,20:04:28.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,-k,LocalServiceNetworkRestricted,C:\Windows\System32\svchost.exe
***,1064,880,audiodg.exe,0x85cb2a80,9,148,0,False,2017-12-08,20:04:29.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\audiodg.exe,C:\Windows\system32\AUDIODG.EXE,0x2bc,C:\Windows\system32\AUDIODG.EXE
**,1652,468,BBSvc.EXE,0x85dcda08,6,80,0,False,2017-12-08,20:04:31.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Microsoft\BingBar\7.3.117.0\BBSvc.EXE,"""c:\program","files\microsoft\bingbar\7.3.117.0\bbsvc.exe""",C:\Program,Files\Microsoft\BingBar\7.3.117.0\BBSvc.exe
**,760,468,MsMpEng.exe,0x85c1dd28,34,576,0,False,2017-12-08,20:04:28.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Microsoft,Security,Client\MsMpEng.exe,"""c:\Program",Files\Microsoft,Security,"Client\MsMpEng.exe""",c:\Program,Files\Microsoft,Security,Client\MsMpEng.exe
**,1916,468,DictUpdater.ex,0x85e6b7f0,5,91,0,False,2017-12-08,20:04:31.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Microsoft,Bing,Dictionary\DictUpdater.exe,-,-
*,484,376,lsass.exe,0x85ad74a8,14,1037,0,False,2017-12-08,20:04:27.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe,C:\Windows\system32\lsass.exe
