Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
4,0,System,0x84233ad8,76,635,N/A,False,2017-12-08,22:45:39.000000,UTC,N/A,-,-,-
*,252,4,smss.exe,0x85257708,2,29,N/A,False,2017-12-08,22:45:39.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\smss.exe,\SystemRoot\System32\smss.exe,\SystemRoot\System32\smss.exe
384,364,csrss.exe,0x85acbc70,9,933,1,False,2017-12-08,22:45:40.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\csrss.exe,%SystemRoot%\system32\csrss.exe,ObjectDirectory=\Windows,"SharedSection=1024,12288,512",Windows=On,SubSystemType=Windows,"ServerDll=basesrv,1","ServerDll=winsrv:UserServerDllInitialization,3","ServerDll=winsrv:ConServerDllInitialization,2","ServerDll=sxssrv,4",ProfileControl=Off,MaxRequestThreads=16,C:\Windows\system32\csrss.exe
*,1132,384,conhost.exe,0x85f3a030,0,-,1,False,2017-12-08,22:45:47.000000,UTC,2017-12-08,22:48:25.000000,UTC,\Device\HarddiskVolume2\Windows\System32\conhost.exe,-,-
424,364,winlogon.exe,0x85ac1920,5,111,1,False,2017-12-08,22:45:40.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\winlogon.exe,-,-
1700,1652,explorer.exe,0x85e65d28,33,832,1,False,2017-12-08,22:45:46.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\explorer.exe,C:\Windows\Explorer.EXE,C:\Windows\Explorer.EXE
*,704,1700,python.exe,0x85f15c70,0,-,1,False,2017-12-08,22:45:47.000000,UTC,2017-12-08,22:48:20.000000,UTC,\Device\HarddiskVolume2\Python27\python.exe,-,-
**,1544,704,Scratch.exe,0x85558d28,25,427,1,False,2017-12-08,22:47:38.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Scratch\Scratch.exe,"""C:\\Program","Files\\Scratch\\Scratch.exe""",C:\Program,Files\Scratch\Scratch.exe
**,2444,704,Connect.exe,0x86351d28,19,539,1,False,2017-12-08,22:46:14.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Corel\CorelDRAW,Graphics,Suite,2017\Connect\Connect.exe,"""C:\\Program",Files\\Corel\\CorelDRAW,Graphics,Suite,"2017\\Connect\\Connect.exe""",C:\Program,Files\Corel\CorelDRAW,Graphics,Suite,2017\Connect\Connect.exe
**,3856,704,speedcrunch.ex,0x862fad28,4,104,1,False,2017-12-08,22:46:07.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\SpeedCrunch\speedcrunch.exe,-,-
**,2320,704,Spotify.exe,0x842e1030,55,615,1,False,2017-12-08,22:46:26.000000,UTC,N/A,\Device\HarddiskVolume2\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe,C:\\Users\\enlighten\\AppData\\Roaming\\Spotify\\Spotify.exe,C:\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe
***,4352,2320,Spotify.exe,0x85223d28,0,-,1,False,2017-12-08,22:46:40.000000,UTC,2017-12-08,22:46:52.000000,UTC,\Device\HarddiskVolume2\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe,-,-
***,4416,2320,Spotify.exe,0x85df5030,34,260,1,False,2017-12-08,22:46:40.000000,UTC,N/A,\Device\HarddiskVolume2\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe,"""C:\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe""",--type=renderer,--disable-pinch,--service-pipe-token=2BBEED6A074D5DC099F39ABF9BE91069,--lang=en-US,--lang=en-US,"--log-file=""C:\Users\enlighten\AppData\Roaming\Spotify\debug.log""",--log-severity=disable,--product-version=Spotify/1.0.67.582,--disable-spell-checking,--device-scale-factor=1,--num-raster-threads=1,"--content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;3,17,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553;4,17,3553",--enable-gpu-async-worker-context,--service-request-channel-token=2BBEED6A074D5DC099F39ABF9BE91069,--renderer-client-id=3,--mojo-platform-channel-handle=1932,/prefetch:1,C:\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe
***,4392,2320,SpotifyWebHelp,0x85270d28,6,141,1,False,2017-12-08,22:46:40.000000,UTC,N/A,\Device\HarddiskVolume2\Users\enlighten\AppData\Roaming\Spotify\SpotifyWebHelper.exe,"""C:\Users\enlighten\AppData\Roaming\Spotify\SpotifyWebHelper.exe""",C:\Users\enlighten\AppData\Roaming\Spotify\SpotifyWebHelper.exe
***,4332,2320,Spotify.exe,0x85e4ad28,26,128,1,False,2017-12-08,22:48:27.000000,UTC,N/A,\Device\HarddiskVolume2\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe,"""C:\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe""",--type=gpu-process,--disable-d3d11,--lang=en-US,"--log-file=""C:\Users\enlighten\AppData\Roaming\Spotify\debug.log""",--log-severity=disable,--product-version=Spotify/1.0.67.582,--disable-direct-composition,--use-gl=swiftshader-webgl,--supports-dual-gpus=false,"--gpu-driver-bug-workarounds=9,12,13,22,23,24,27,49,84","--disable-gl-extensions=""GL_KHR_blend_equation_advanced","GL_KHR_blend_equation_advanced_coherent""",--disable-accelerated-video-decode,--gpu-vendor-id=0x80ee,--gpu-device-id=0xbeef,"--gpu-driver-vendor=""Google","Inc.""",--gpu-driver-version=3.3.0.2,--gpu-driver-date=2017/04/07,--lang=en-US,"--log-file=""C:\Users\enlighten\AppData\Roaming\Spotify\debug.log""",--log-severity=disable,--product-version=Spotify/1.0.67.582,--service-request-channel-token=0BD6634C1B1106A297087EC1609B6B3B,--mojo-platform-channel-handle=2364,"--ignored=""",--type=renderer,"""",/prefetch:2,C:\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe
***,3156,2320,Spotify.exe,0x8518a030,33,193,1,False,2017-12-08,22:46:36.000000,UTC,N/A,\Device\HarddiskVolume2\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe,C:\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe,--type=crashpad-handler,/prefetch:7,--max-uploads=5,--max-db-size=20,--max-db-age=5,--monitor-self-annotation=ptype=crashpad-handler,"""--database=C:\Users\enlighten\AppData\Local\Spotify\User","Data\Crashpad""","""--metrics-dir=C:\Users\enlighten\AppData\Local\Spotify\User","Data""",--url=https://crashdump.spotify.com:443,--annotation=platform=win32,--annotation=product=spotify,--annotation=version=1.0.67.582,"--initial-client-data=0x2c8,0x2cc,0x2d0,0x2c4,0x2d4,0x575271a4,0x575271b4,0x575271c4",C:\Users\enlighten\AppData\Roaming\Spotify\Spotify.exe
**,5776,704,thinkorswim.ex,0x8601c3e8,31,403,1,False,2017-12-08,22:47:16.000000,UTC,N/A,\Device\HarddiskVolume2\Users\enlighten\AppData\Local\thinkorswim\thinkorswim.exe,C:\\Users\\enlighten\\AppData\\Local\\thinkorswim\\thinkorswim.exe,C:\Users\enlighten\AppData\Local\thinkorswim\thinkorswim.exe
***,5184,5776,regsvr32.exe,0x85093030,0,-,1,False,2017-12-08,22:47:30.000000,UTC,2017-12-08,22:47:33.000000,UTC,\Device\HarddiskVolume2\Windows\System32\regsvr32.exe,-,-
***,2336,5776,regsvr32.exe,0x850b2030,0,-,1,False,2017-12-08,22:47:34.000000,UTC,2017-12-08,22:47:34.000000,UTC,\Device\HarddiskVolume2\Windows\System32\regsvr32.exe,-,-
***,2344,5776,regedit.exe,0x85119030,0,-,1,False,2017-12-08,22:47:34.000000,UTC,2017-12-08,22:47:34.000000,UTC,\Device\HarddiskVolume2\Windows\regedit.exe,-,-
***,5000,5776,reg.exe,0x85be9630,0,-,1,False,2017-12-08,22:47:34.000000,UTC,2017-12-08,22:47:34.000000,UTC,\Device\HarddiskVolume2\Windows\System32\reg.exe,-,-
***,1928,5776,regsvr32.exe,0x85060030,0,-,1,False,2017-12-08,22:47:35.000000,UTC,2017-12-08,22:47:35.000000,UTC,\Device\HarddiskVolume2\Windows\System32\regsvr32.exe,-,-
***,2192,5776,regsvr32.exe,0x84367030,0,-,1,False,2017-12-08,22:47:33.000000,UTC,2017-12-08,22:47:33.000000,UTC,\Device\HarddiskVolume2\Windows\System32\regsvr32.exe,-,-
***,4988,5776,reg.exe,0x8435a030,0,-,1,False,2017-12-08,22:47:34.000000,UTC,2017-12-08,22:47:34.000000,UTC,\Device\HarddiskVolume2\Windows\System32\reg.exe,-,-
**,5656,704,devcpp.exe,0x85661d28,2,67,1,False,2017-12-08,22:47:06.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Dev-Cpp\devcpp.exe,-,-
**,3480,704,FoxitReader.ex,0x8603ed28,26,583,1,False,2017-12-08,22:46:01.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Foxit,Software\Foxit,Reader\FoxitReader.exe,"""C:\Program",Files\Foxit,Software\Foxit,"Reader\FoxitReader.exe""",C:\share\pdf\16.pdf,C:\Program,Files\Foxit,Software\Foxit,Reader\FoxitReader.exe
***,3888,3480,FoxitReaderUpd,0x86270d28,0,-,1,False,2017-12-08,22:46:07.000000,UTC,2017-12-08,22:46:23.000000,UTC,\Device\HarddiskVolume2\Users\enlighten\AppData\Roaming\Foxit,Software\Addon\Foxit,Reader\FoxitReaderUpdater.exe,-,-
**,6012,704,SimSolar.exe,0x848e09a0,1,46,1,False,2017-12-08,22:47:53.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\SimSolar,v2.0\SimSolar.exe,"""C:\\Program",Files\\SimSolar,"v2.0\\SimSolar.exe""",C:\Program,Files\SimSolar,v2.0\SimSolar.exe
**,2476,704,wpp.exe,0x85dc4a40,15,635,1,False,2017-12-08,22:46:32.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Kingsoft\WPS,Office\10.8.0.6206\office6\wpp.exe,"""C:\Program",Files\Kingsoft\WPS,"Office\10.8.0.6206\office6\wpp.exe""",C:\share\ppt\SamplePPTFile_1000kb.ppt,C:\Program,Files\Kingsoft\WPS,Office\10.8.0.6206\office6\wpp.exe
**,3244,704,et.exe,0x84aaac58,5,265,1,False,2017-12-08,22:47:58.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Kingsoft\WPS,Office\10.8.0.6206\office6\et.exe,"""C:\Program",Files\Kingsoft\WPS,"Office\10.8.0.6206\office6\et.exe""",C:\share\xls\SampleXLSFile_212kb.xls,C:\Program,Files\Kingsoft\WPS,Office\10.8.0.6206\office6\et.exe
**,4156,704,Skype.exe,0x85c45858,72,1234,1,False,2017-12-08,22:46:37.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Skype\Phone\Skype.exe,"""C:\\Program","Files\\Skype\\Phone\\Skype.exe""",C:\Program,Files\Skype\Phone\Skype.exe
**,316,704,Solve,Elec.exe,0x84947a80,4,102,1,False,2017-12-08,22:47:56.000000,UTC,N/A,\Device\HarddiskVolume2\Program,Files\Solve,Elec,2.5\Solve,Elec.exe,"""C:\\Program",Files\\Solve,Elec,2.5\\Solve,"Elec.exe""",C:\Program,Files\Solve,Elec,2.5\Solve,Elec.exe
***,372,316,wininit.exe,0x85ace828,3,76,0,False,2017-12-08,22:45:40.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\wininit.exe,-,-
****,492,372,lsm.exe,0x85a95218,11,165,0,False,2017-12-08,22:45:40.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\lsm.exe,C:\Windows\system32\lsm.exe,C:\Windows\system32\lsm.exe
****,468,372,services.exe,0x851c6a38,13,240,0,False,2017-12-08,22:45:40.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\services.exe,C:\Windows\system32\services.exe,C:\Windows\system32\services.exe
*****,1792,468,svchost.exe,0x85e6fd28,14,329,0,False,2017-12-08,22:45:46.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,-k,utcsvc,C:\Windows\System32\svchost.exe
*****,1164,468,svchost.exe,0x85ce4630,20,492,0,False,2017-12-08,22:45:44.000000,UTC,N/A,\Device\HarddiskVolume2\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe,-k,NetworkService,C:\Windows\system32\svchost.exe
